2010-02-03,Overruning engineering work,04:34,Orpington,City Thameslink,did not call at Bellingham
2010-02-03,Technical fault,10:32,Sevenoaks,Kent House,delayed by 22 minutes
2010-02-03,Passenger taken ill at Faversham,11:52,Victoria,Ramsgate,terminated at Faversham
2010-02-03,Passenger taken ill at Faversham,13:15,Faversham,Dover Priory,cancelled
2010-02-03,Passenger taken ill at Faversham,14:04,Ramsgate,Faversham,cancelled
2010-02-03,Passenger taken ill at Faversham,14:05,Dover Priory,Victoria,started at Faversham
2010-02-03,Train fault at Plumstead,15:30,Cannon St,Hayes,cancelled
2010-02-03,Train fault at Plumstead,16:20,Hayes,Cannon St,started at Lewisham
2010-02-03,Train fault at Plumstead,15:26,Kent House,Sevenoaks,delayed by 10 minutes
2010-02-03,Trespasser on the line,13:40,Charing Cross,Ramsgate,delayed by 10 minutes
2010-02-03,Under investigation,18:19,Hastings,Charing Cross,delayed by 10 minutes
2010-02-03,Train fault,07:33,Ebbsfleet International,St Pancras International,cancelled
2010-02-03,Train fault at Sidcup,21:33,Gravesend,Charing Cross,terminated at Sidcup
2010-02-03,Train fault at Sidcup,22:47,Charing Cross,Hayes,cancelled
